Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,AI ML,Software Engineering,Business Analysis,Data Science,Role
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Expert,,,Excellent,Excellent,Beginner,Excellent,Excellent,,Excellent,,Database Administrator
Professional,,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Professional,Excellent,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Professional,Poor,Poor,Poor,Poor,No Experience,No Experience,Poor,Poor,Poor,Poor,Database Administrator
Professional,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Average,Intermediate,,Database Administrator
Professional,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Database Administrator
Professional,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,,No Experience,Poor,No Experience,Database Administrator
Professional,Not Interested,,Not Interested,,,Not Interested,Not Interested,,Not Interested,,Database Administrator
Advanced,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Database Administrator
Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Not Interested,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,,Not Interested,Excellent,Excellent,Excellent,Database Administrator
Advanced,Intermediate,Average,Average,Average,Average,Average,Average,Intermediate,,Excellent,Database Administrator
Professional,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Intermediate,Database Administrator
Professional,Average,Average,Intermediate,Average,Average,Intermediate,Intermediate,Average,Intermediate,Average,Database Administrator
Advanced,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,,Intermediate,Database Administrator
Professional,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Database Administrator
Professional,Intermediate,Competent,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,Poor,Poor,Database Administrator
Advanced,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,No Experience,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Database Administrator
Expert,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Database Administrator
Professional,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,,,Excellent,Not Interested,Database Administrator
Professional,Entry-level,Entry-level,Beginner,Beginner,Beginner,Beginner,Novice,,Entry-level,Average,Database Administrator
Professional,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Database Administrator
Professional,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,,Not Interested,,Database Administrator
,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Average,Intermediate,Intermediate,Database Administrator
Professional,No Experience,Poor,Poor,Poor,Poor,Poor,No Experience,Average,Poor,Poor,Database Administrator
,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Database Administrator
Professional,Average,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Competent,Intermediate,Database Administrator
Professional,Beginner,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Average,Average,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Database Administrator
Professional,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Professional,Poor,Poor,Poor,Poor,No Experience,,No Experience,Poor,Poor,Poor,Database Administrator
Professional,Entry-level,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Competent,,Intermediate,Intermediate,Competent,Intermediate,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Not Interested,Intermediate,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Intermediate,Beginner,Beginner,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Database Administrator
Professional,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Professional,Average,,Average,Intermediate,Average,Intermediate,Average,Average,Intermediate,Average,Database Administrator
Professional,Not Interested,Not Interested,No Experience,Novice,Not Interested,,Not Interested,Not Interested,No Experience,Not Interested,Database Administrator
Professional,Intermediate,Intermediate,,Intermediate,Intermediate,Competent,Average,Intermediate,Intermediate,Intermediate,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,,Beginner,Beginner,Database Administrator
Professional,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Excellent,Excellent,Excellent,Intermediate,Excellent,,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,,No Experience,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Database Administrator
Professional,Average,Average,Average,Average,Average,Average,Intermediate,Intermediate,,Poor,Database Administrator
,Not Interested,Not Interested,Not Interested,,,Not Interested,,Not Interested,,Not Interested,Database Administrator
Professional,,,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Database Administrator
Expert,No Experience,Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Database Administrator
Professional,Average,Average,Average,Average,Average,Average,Beginner,Average,Average,Average,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Database Administrator
Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Database Administrator
,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Competent,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Expert,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Poor,Intermediate,Database Administrator
Professional,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Excellent,Beginner,Beginner,Database Administrator
Professional,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Database Administrator
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Advanced,Beginner,,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Professional,Average,Beginner,Intermediate,Average,,Intermediate,Average,Average,Average,Average,Database Administrator
Professional,Intermediate,Intermediate,Competent,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Beginner,Database Administrator
Professional,Poor,Poor,Poor,Poor,Excellent,No Experience,Poor,Poor,Poor,Poor,Database Administrator
Professional,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Database Administrator
Professional,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Database Administrator
Professional,Novice,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Database Administrator
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Professional,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Database Administrator
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Database Administrator
Intermediate,Average,Intermediate,Average,Average,Average,Poor,Average,Average,Average,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Professional,Data Scientist
Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Beginner,Not Interested,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Intermediate,Beginner,Professional,Data Scientist
Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Advanced,Data Scientist
,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Entry-level,Professional,Data Scientist
Average,Entry-level,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Average,Average,Average,Average,Average,Average,Excellent,Average,,Average,Professional,Data Scientist
Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,,Data Scientist
Not Interested,Average,,Average,Average,Average,Average,Average,Average,Average,Professional,Data Scientist
Not Interested,Intermediate,Not Interested,Not Interested,,Not Interested,No Experience,Not Interested,Not Interested,,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Professional,Data Scientist
Intermediate,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Average,Average,Average,Average,Intermediate,Average,Average,Intermediate,Average,Average,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Data Scientist
No Experience,Poor,Poor,Poor,No Experience,Poor,No Experience,Poor,Poor,Average,Professional,Data Scientist
Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Beginner,Novice,Beginner,Beginner,Average,Beginner,Novice,Beginner,Beginner,Beginner,Professional,Data Scientist
Average,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Professional,Data Scientist
Average,,Average,,Average,Average,Average,Average,Average,Average,Advanced,Data Scientist
Average,Average,Average,Intermediate,Average,Average,Average,Average,Poor,Average,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
No Experience,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Novice,Beginner,Beginner,Beginner,Beginner,,Beginner,,Beginner,,Advanced,Data Scientist
Intermediate,Beginner,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Average,Intermediate,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Average,Average,,Average,Average,Intermediate,Average,Average,,Average,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Not Interested,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,No Experience,Poor,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Not Interested,Not Interested,,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Expert,Data Scientist
,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Entry-level,Beginner,Professional,Data Scientist
Average,,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Beginner,No Experience,Poor,Poor,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,,Data Scientist
Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Entry-level,Beginner,Beginner,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Novice,Beginner,Beginner,Beginner,Professional,Data Scientist
Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,,Intermediate,,Not Interested,Professional,Data Scientist
Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Expert,Data Scientist
Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,,Data Scientist
Beginner,Entry-level,Beginner,Novice,Beginner,Not Interested,Beginner,Beginner,Beginner,,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Competent,Intermediate,Competent,Intermediate,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Professional,Data Scientist
Poor,Poor,Advanced,Poor,Average,Poor,Poor,Poor,No Experience,Poor,Poor,Data Scientist
,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,,,Not Interested,Not Interested,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Professional,Data Scientist
Excellent,Excellent,Excellent,,Excellent,,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Entry-level,Beginner,Beginner,Beginner,Professional,Data Scientist
Average,Average,Intermediate,Average,Average,Average,Intermediate,Average,Average,Average,Professional,Data Scientist
Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Professional,Data Scientist
Poor,No Experience,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,,Intermediate,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,,Professional,Data Scientist
Not Interested,Not Interested,No Experience,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Excellent,Not Interested,Expert,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Beginner,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Poor,Not Interested,Not Interested,No Experience,Not Interested,Professional,Data Scientist
Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,,Data Scientist
Average,Average,Average,Average,Average,Poor,Average,Average,Average,,Professional,Data Scientist
Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Excellent,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Competent,Beginner,Beginner,Beginner,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Average,Intermediate,Average,Average,Average,Average,Average,,Average,Average,Professional,Data Scientist
Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,,Data Scientist
Poor,Poor,Poor,Poor,Poor,,Poor,Poor,,Poor,Professional,Data Scientist
Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Professional,Data Scientist
Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Beginner,Beginner,Beginner,Competent,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Professional,Data Scientist
Not Interested,Average,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Data Scientist
Beginner,Entry-level,Beginner,Beginner,,Beginner,,Beginner,Beginner,Beginner,Professional,Data Scientist
Not Interested,Not Interested,,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Professional,Data Scientist
Average,Average,Average,Average,Average,Beginner,Average,Intermediate,Average,Average,Professional,Data Scientist
Average,Average,Average,,Average,Average,Average,Average,Average,Average,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Poor,Intermediate,Average,Intermediate,Intermediate,Intermediate,Competent,Professional,Data Scientist
Poor,Poor,Poor,Poor,,Competent,Poor,Poor,Poor,No Experience,Professional,Data Scientist
Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
,Beginner,Novice,Beginner,,Intermediate,Beginner,Novice,Beginner,,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Professional,Data Scientist
Intermediate,Average,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Poor,Poor,Poor,Poor,Average,Poor,No Experience,Poor,No Experience,Poor,Professional,Data Scientist
Average,Average,Average,Average,Average,Intermediate,Average,Not Interested,Average,Average,Professional,Data Scientist
Intermediate,Average,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,,Intermediate,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Excellent,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Advanced,Data Scientist
Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Intermediate,Professional,Data Scientist
Excellent,Excellent,No Experience,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Average,Poor,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Excellent,,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Professional,Data Scientist
Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Excellent,Poor,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,Poor,Professional,Data Scientist
Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Data Scientist
,,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Not Interested,Beginner,Expert,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,No Experience,Not Interested,Professional,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Poor,Intermediate,Professional,Data Scientist
Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
,Intermediate,Intermediate,Beginner,,Intermediate,Average,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,,Excellent,Excellent,Excellent,Professional,Data Scientist
Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Advanced,Data Scientist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Data Scientist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Professional,Data Scientist
Beginner,Beginner,Not Interested,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Data Scientist
Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,No Experience,No Experience,Poor,Professional,Data Scientist
Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Professional,Data Scientist
Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Data Scientist
Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Competent,Professional,Data Scientist
Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,,Professional,Data Scientist
Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Data Scientist
Average,,Average,Intermediate,Average,Average,Average,Average,Average,,Professional,Data Scientist
